nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000132965.9,-3.930947333,0.191447561,0.000136154,0.00040957,0.000595036,0,0.019017852
ENSG00000120694.19,0.614164337,-0.034985925,0.033345644,0.016763462,0.01682653,0,0.161997876
ENSG00000073910.19,-0.544401472,0.035467907,0.39818522,0.288388555,0.288801121,0,0.58756544
ENSG00000121741.16,-0.34695933,0.015279941,0.80066093,0.828814912,0.828805647,1,0.780240473
ENSG00000139597.17,-1.500066135,0.083351031,0.013532827,0.007167395,0.007105882,1,0.097717971
ENSG00000244754.8,0.974816109,-0.055816636,0.005136414,0.002139916,0.002311606,0,0.049331477
ENSG00000281026.1,-1.297916123,0.073227761,0.105934013,0.077619234,0.079944388,0,0.362681378
ENSG00000083642.18,0.245336157,-0.013030883,0.868568073,0.865364083,0.871884469,0,0.790032665
ENSG00000133104.12,-1.973654387,0.090036952,3.61E-07,7.75E-06,1.52E-05,0,0.001153734
ENSG00000120699.12,-0.105119969,0.011526919,0.84001467,0.667160212,0.667154295,1,0.744331284
ENSG00000102710.19,-1.740195935,0.064074386,0.041495357,0.15311467,0.161525058,0,0.484943116
ENSG00000180138.7,-1.171826239,0.087292833,0.570541703,0.422986422,0.415309239,0,0.661109724
ENSG00000120685.19,0.139477282,-0.001388781,0.60314415,0.920009139,0.920398596,0,0.800207754
ENSG00000188811.13,0.876187105,-0.043310103,0.339340551,0.35233569,0.353072311,0,0.630659895
ENSG00000133103.16,0.467241539,-0.021813591,0.823613226,0.836812305,0.836797345,1,0.7811671
ENSG00000150907.7,1.130582515,-0.064392415,0.532865858,0.489991727,0.489588514,1,0.692425214
ENSG00000102738.7,0.9488017,-0.043784799,0.123562423,0.171083531,0.170970627,1,0.497400234
ENSG00000120690.15,0.035322006,0.000525323,0.847092971,0.955722797,0.955722784,1,0.804460861
ENSG00000136319.11,-0.170790589,0.015547338,0.811113714,0.672141578,0.672108403,1,0.745203971
ENSG00000198805.11,1.243501389,-0.053563882,0.001954362,0.010134778,0.010766108,0,0.125681033
ENSG00000100813.14,-0.101571773,0.007390492,0.49723542,0.340250775,0.342433013,0,0.624244192
ENSG00000179933.5,1.068401366,-0.052080689,0.019286867,0.032000277,0.031954839,1,0.238448469
ENSG00000092067.5,-0.532625303,0.021559379,0.762478602,0.815488373,0.815843453,0,0.778296252
ENSG00000092068.19,2.727180022,-0.158573722,0.279396737,0.228664972,0.229251661,0,0.549458104
ENSG00000215271.7,-0.496297491,0.024585667,0.554615044,0.576110788,0.576123708,0,0.719944519
ENSG00000235194.8,0.605998369,-0.041004651,0.470339604,0.343864705,0.343772935,1,0.624575196
ENSG00000129473.9,-1.195427618,0.064297535,0.43545668,0.416113771,0.415779106,1,0.661305549
ENSG00000100836.10,0.260563084,-0.013417352,0.723578889,0.725193526,0.727387093,0,0.760864547
ENSG00000166091.19,0.379543107,-0.010867353,0.323027635,0.592593244,0.592771291,0,0.726281618
ENSG00000197616.11,1.965591078,-0.072489782,0.712123608,0.795620574,0.789135171,0,0.772349748
ENSG00000092054.12,5.597446595,-0.283139704,0.053200115,0.057596778,0.060754418,0,0.317530142
ENSG00000129460.15,-0.039408078,0.006802852,0.966383106,0.888141027,0.888141891,1,0.793969356
ENSG00000157306.14,3.641466227,-0.181958067,0.448501629,0.456339252,0.455869385,0,0.67762928
ENSG00000259431.5,-1.207151404,0.064675857,0.342963854,0.324259329,0.324006366,1,0.615356819
ENSG00000213983.11,0.033721966,-0.008856397,0.902407227,0.536995146,0.537718872,0,0.708642184
ENSG00000215256.3,0.38120424,0.00321122,0.702635701,0.950371462,0.950559007,0,0.804036973
ENSG00000258818.3,0.732367718,-0.01668794,0.449406699,0.744624835,0.744673019,0,0.764386956
ENSG00000157326.18,0.015956336,0.010570247,0.985631604,0.820393281,0.820404447,0,0.779086766
ENSG00000187630.15,0.156550632,0.020814425,0.906518847,0.765532993,0.763525698,0,0.769067117
ENSG00000100889.11,1.831989199,-0.095374108,0.034247694,0.035238183,0.038654215,0,0.259571742
ENSG00000100897.17,-0.053076086,0.00629437,0.885764925,0.744165566,0.744208734,0,0.764265394
ENSG00000092010.14,0.422632992,-0.013476395,0.11800963,0.34081057,0.341959493,0,0.624222401
ENSG00000259321.1,-1.041813297,0.032988474,0.420320592,0.622104327,0.622129196,1,0.732199588
ENSG00000214274.9,-1.296073933,0.085303216,0.203042435,0.113540063,0.113211542,0,0.419127439
ENSG00000100911.15,-0.07668073,0.010679997,0.679848742,0.267922788,0.268099589,0,0.57498511
ENSG00000092098.16,-0.945202387,0.043236053,0.167875316,0.230208793,0.237653736,0,0.556018101
