nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000106479.10,0.008920647,-7.601293977,-0.012549338,0.000983337,0.003918947,0.966072573,2.06E-05,0.292360129,0.936424045,0.783735025,0.783729907,0,0.802951093
ENSG00000204934.10,4.046527861,-3.147961557,-0.075557116,-0.116366422,-0.263435839,0.361107988,0.000622731,0.778416854,0.866003572,0.347468523,0.354389946,0,0.665924613
ENSG00000171130.17,-0.072099752,-4.632434772,-0.011298463,-0.121838806,-0.023199457,0.8876474,5.57E-54,0.626224858,0.233525226,0.488759082,0.49308652,0,0.725300851
ENSG00000127399.14,0.742526579,-4.905398474,-0.026456291,0.038548527,-0.0746731,0.032247879,8.30E-67,0.467277212,0.518742664,0.001353473,0.001470628,0,0.039744439
ENSG00000188707.5,1.848552127,-5.264613846,-0.078816477,0.146828519,-0.093609308,0.001278983,7.29E-08,0.039873719,0.209496437,0.015328324,0.015801296,0,0.182621768
ENSG00000214022.11,-0.027427793,-7.13067764,0.015091808,-0.055845437,-0.001401085,0.922224448,2.21E-15,0.229123284,0.118279154,0.939758583,0.939801205,0,0.83079407
ENSG00000196456.11,-0.992311259,-4.308395442,0.060351898,-0.118069291,0.083222895,0.301342981,4.15E-07,0.20516635,0.244472877,0.204821197,0.204191295,0,0.562960098
ENSG00000171115.3,-0.556353908,-5.066064974,-0.003399214,-0.000547133,0.030343008,0.046153685,8.91E-72,0.869375627,0.970143999,0.110359623,0.111628951,0,0.453512413
ENSG00000219545.11,-0.715804716,-5.863749557,0.051695258,0.140005394,0.047644059,0.487035485,0.001600112,0.656813995,0.117362634,0.475096672,0.489078154,0,0.724009155
ENSG00000179144.4,0.759151849,-6.297873118,-0.002034693,0.007815841,-0.03880366,0.000149069,1.62E-55,0.908466042,0.378979408,0.003851393,0.00434936,0,0.081616984
ENSG00000133574.9,-2.403841344,-3.863462662,0.051456806,0.010870444,0.147304677,3.32E-07,1.07E-112,0.241050621,0.606010443,3.64E-06,9.78E-06,0,0.000916698
ENSG00000133561.15,0.505664154,-7.167155081,0.0150076,-0.042055551,-0.025567889,0.001103871,2.33E-26,0.133499163,0.001250082,0.01439603,0.015578904,0,0.180972656
ENSG00000106560.10,0.553810367,-6.112941155,-0.001368916,0.015073158,-0.027750183,0.000110513,5.55E-116,0.89083275,0.203837759,0.004333834,0.004627168,0,0.084193085
ENSG00000213203.2,0.28139089,-5.832443433,0.000383404,0.022008697,-0.005235943,0.286291319,7.94E-49,0.97718714,0.249726473,0.767822052,0.767759886,0,0.79903616
ENSG00000196329.11,-0.009390735,-5.910986976,0.011976215,0.005361876,0.009192561,0.948696346,3.12E-251,0.170542265,0.728793728,0.344215307,0.345117407,0,0.659693207
ENSG00000241134.3,3.127752413,-2.228659433,-0.205342245,-0.269891008,-0.147661862,0.148369412,9.57E-13,0.163752664,0.03225836,0.289528365,0.288614522,0,0.625743003
ENSG00000106565.17,2.416013303,-1.016483723,0.262875464,-0.130465323,-0.068854991,0.033206762,2.25E-24,0.035725095,0.161350843,0.367740674,0.350196563,0,0.66271723
ENSG00000002933.7,0.749479789,-0.400438962,0.627583372,0.054070865,0.002277529,0.54788739,7.22E-06,1.14E-09,0.478233021,0.978383937,0.977842123,0,0.835272016
ENSG00000002726.20,-1.000541928,0.227283267,0.750245316,-0.413127265,0.114559419,0.676972337,0.141150659,3.94E-06,0.117386398,0.478711054,0.453435999,0,0.708855172
ENSG00000106415.12,1.132140431,-6.568462779,0.115244139,-0.069956357,-0.048650993,0.396237194,0.364545534,0.407780035,0.943081604,0.570918891,0.570590138,0,0.749378071
ENSG00000055118.14,0.238525901,-4.718171842,0.025745282,0.007498007,-0.005043965,0.598338285,3.15E-43,0.435934823,0.782172161,0.867163157,0.867093997,0,0.818089838
