nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000133561.15,-0.484139078,0.029424096,0.038015855,0.109627637,0.110610303,0,0.377333102
ENSG00000106560.10,-0.37640582,0.030277416,0.659572573,0.640680413,0.646549764,0,0.709090697
ENSG00000213203.2,0.817893243,-0.049526484,1.32E-06,0.000172559,0.00024574,0,0.006632402
ENSG00000196329.11,-2.109124878,0.148863521,1.06E-07,1.89E-06,5.45E-06,0,0.00031847
ENSG00000241134.3,0.421184757,-0.02290933,0.001317643,0.025059783,0.028248501,0,0.192595486
ENSG00000106565.17,0.462433758,-0.025077893,0.0002188,0.011130026,0.011655998,0,0.105992957
ENSG00000002933.7,0.392587869,-0.014808254,0.069365295,0.378703582,0.379569306,0,0.607788486
ENSG00000002726.20,0.008392287,0.009176886,0.946934463,0.345195487,0.346012874,0,0.586958299
ENSG00000106415.12,2.751817083,-0.144482872,0.151672215,0.311498641,0.308491985,0,0.563251798
ENSG00000055118.14,2.772743679,-0.102479615,0.004897598,0.184684643,0.172857711,0,0.453097364
ENSG00000197150.12,1.036754886,-0.046010747,0.394341347,0.627584434,0.627375986,0,0.702805498
ENSG00000164897.12,0.073341125,0.003743077,0.941640549,0.961042575,0.961175436,0,0.773946555
ENSG00000033050.7,0.29572223,-0.034785708,0.565290924,0.370900941,0.370827075,1,0.603083889
ENSG00000033100.16,0.063440425,-0.018172227,0.856773053,0.51456461,0.517388736,0,0.664736697
ENSG00000013374.15,-0.072444829,0.01286644,0.718459957,0.405569834,0.405600313,0,0.624153737
ENSG00000106617.13,-0.248705099,0.02528071,0.104191282,0.034607457,0.035159582,0,0.217715429
ENSG00000261455.1,1.193165284,-0.074532369,0.529796015,0.612271548,0.611932788,1,0.696244085
ENSG00000214106.7,-1.346732962,0.107316597,0.041745195,0.035722635,0.035589864,0,0.218940414
ENSG00000184863.10,0.063552806,-0.018188448,0.963971316,0.866187468,0.86643219,0,0.754657376
ENSG00000182648.11,-0.695978488,0.031502762,0.296295165,0.539974978,0.542330541,0,0.677235536
ENSG00000105983.20,-0.151340668,0.033315934,0.824975425,0.534868855,0.534791668,1,0.673405171
ENSG00000106443.15,-0.068149428,0.01194036,0.672973163,0.347776603,0.34802849,0,0.588487889
ENSG00000105993.14,1.11862819,-0.069566545,0.020149165,0.069047168,0.072730304,0,0.315902595
ENSG00000155093.17,0.063803551,0.009557075,0.921572792,0.846048568,0.846244943,0,0.749070313
ENSG00000233038.5,-0.395335934,0.01459953,0.419395071,0.695180893,0.695186268,1,0.72152612
ENSG00000146918.19,0.162967434,-0.000352542,0.668595708,0.990554883,0.990552531,0,0.778325929
ENSG00000117868.15,1.90810064,-0.128913611,0.044421267,0.08577706,0.081591341,0,0.330404588
ENSG00000126870.15,-0.852363377,0.045174161,0.035293416,0.160339469,0.161936806,0,0.44372646
ENSG00000106460.18,-0.717822332,0.040419054,5.84E-07,0.000268571,0.000327423,0,0.008109875
ENSG00000122644.12,1.097627101,-0.066575595,0.176263781,0.273885073,0.273613642,1,0.539131309
ENSG00000223508.5,-0.05221292,0.00259443,0.893879159,0.933232936,0.933586136,0,0.76769789
ENSG00000176595.3,-0.128590361,0.022706593,0.919884627,0.815017589,0.81502546,1,0.74093238
ENSG00000173530.5,-0.197341041,0.01416007,0.908494762,0.911543257,0.911972043,0,0.762602555
ENSG00000246582.2,0.226224122,-0.001243576,0.692534698,0.977855966,0.977820587,0,0.775713489
ENSG00000147457.13,0.116821306,-0.028642401,0.867357213,0.599346283,0.599087729,0,0.694078892
ENSG00000134013.15,0.698921197,-0.033298192,0.153376299,0.380579494,0.382527036,0,0.609331121
ENSG00000197217.12,0.369235452,0.017347458,0.743931531,0.838511264,0.839598928,0,0.748159857
ENSG00000253986.1,-0.380804436,0.023606317,0.185937901,0.282215767,0.28995472,0,0.55057283
ENSG00000036448.9,0.099365345,0.03186262,0.944842783,0.77139943,0.77424972,0,0.731918087
ENSG00000147454.13,0.250419779,0.000747935,0.506471127,0.979608904,0.979624709,0,0.775713489
ENSG00000167034.9,0.698961527,-0.021698224,0.716900829,0.887219994,0.887203063,1,0.76116655
ENSG00000134028.14,0.461687857,-0.169780105,0.59521031,0.011885679,0.011722692,0,0.105992957
ENSG00000104765.15,0.865049098,-0.069769324,0.585733935,0.563467484,0.565605625,0,0.683807098
ENSG00000120915.13,-0.01862225,0.007100245,0.940780508,0.713161239,0.713159452,1,0.722841089
ENSG00000147419.17,-0.197806212,-0.00813116,0.61274096,0.785600568,0.787258771,0,0.735828525
ENSG00000012232.8,-0.946926047,0.055607567,0.197341599,0.315372951,0.336267154,0,0.58126023
ENSG00000104660.17,-0.483400833,0.038592154,0.431286863,0.413263471,0.413184718,1,0.627146581
ENSG00000157168.18,-0.294565151,0.015681757,0.244999507,0.434676503,0.438025585,0,0.637729851
ENSG00000164821.4,1.697535327,-0.155763948,0.099215587,0.048796282,0.064441086,0,0.301660996
ENSG00000172728.15,-0.473384644,0.046462955,0.791956312,0.733586924,0.733555314,1,0.725599453
ENSG00000133874.1,0.127409815,-0.04869561,0.838632073,0.322006557,0.326179129,0,0.574738373
ENSG00000020181.17,-0.345241927,0.001772319,0.830990145,0.98790969,0.987909336,1,0.777742642
ENSG00000239839.6,0.786104709,-0.075055621,0.318450468,0.228090567,0.239920559,0,0.511118108
ENSG00000077782.19,-1.178493584,0.093288299,0.247544471,0.229746092,0.231503307,0,0.505715453
