nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000197442.9,1.587758783,NA,0.038095039,0.031794699,-0.06967348,0.085581694,NA,0.369638505,0.075125977,0.089731386,0.089545135,1,0.332696244
ENSG00000027697.13,-0.28056837,-6.00009819,-0.01827064,0.002317121,0.016130512,0.408720261,1.01E-107,0.309100466,0.854692501,0.288519588,0.289053069,0,0.524005714
ENSG00000118503.14,-1.584651343,NA,0.024508804,0.078344992,0.077171032,0.209225196,NA,0.337117795,0.254094431,0.15826219,0.158323041,1,0.421467535
ENSG00000112378.11,0.369164537,-3.210110358,-0.032710192,-0.196025712,-0.022513732,0.870678479,3.19E-14,0.601859931,0.515764783,0.820075778,0.820314286,0,0.703362865
ENSG00000051620.10,-0.692164708,-4.674659387,-0.028473998,0.015267438,0.04857153,0.198353792,1.11E-104,0.102402429,0.508518843,0.044667571,0.047751233,0,0.248874681
ENSG00000225177.5,0.117652239,-4.959251067,0.043470334,0.013611209,0.007971845,0.953763026,0.007886493,0.513853522,0.803032475,0.93078633,0.930822555,0,0.724176829
ENSG00000024862.17,0.137561075,-7.54621087,-0.019162575,0.011094933,0.000326891,0.711484949,9.83E-05,0.483882699,0.512050618,0.984146039,0.984170955,0,0.733678485
ENSG00000135597.18,-5.205276216,-4.285173268,0.004747444,-0.009990172,0.209962334,1.79E-06,1.43E-23,0.965748117,0.95354544,1.22E-05,5.27E-05,0,0.002677635
ENSG00000146386.7,-0.14987516,-3.839893516,-0.039937211,0.038015556,-0.011504127,0.92761784,2.48E-16,0.361986808,0.152395274,0.876014343,0.876059595,0,0.712527818
ENSG00000112406.4,0.171528052,-9.270748851,-0.014235015,0.000151061,-0.004862038,0.442380072,0.008542863,0.375075534,0.988544285,0.618794323,0.619116169,0,0.651911788
ENSG00000124788.17,0.748549114,-4.888548027,-0.021154489,0.05138631,-0.029272942,0.261204932,2.18E-26,0.434707345,0.049398967,0.31957688,0.319445635,0,0.5412044
ENSG00000164442.9,0.879573498,-5.268379134,-0.185762816,-0.023576765,-0.034055918,0.237856504,8.77E-30,0.442245657,0.632129244,0.295843908,0.300338007,0,0.530394854
ENSG00000009844.15,-2.228564722,NA,-0.092391962,-0.041544476,0.093382387,0.139755509,NA,0.24505061,0.432920484,0.166114997,0.165641412,1,0.428733945
ENSG00000010818.9,-1.943420975,NA,-0.032463322,-0.203761634,0.077611767,0.006795854,NA,0.382455747,0.035373821,0.013760463,0.013667282,1,0.125944884
ENSG00000146416.17,-0.960332827,-3.890279761,0.059247117,-0.339904558,0.040806681,0.596112965,1.59E-09,0.413896644,0.586028979,0.614885126,0.613902731,0,0.650232809
ENSG00000189007.15,-0.791540324,NA,0.0191622,-0.013184573,0.028487342,0.316568627,NA,0.53287519,0.837742276,0.404075306,0.403950451,1,0.579386495
ENSG00000001036.13,-0.101131243,-6.375045813,-0.010019662,-0.013125219,0.01019097,0.755135396,1.88E-34,0.481577825,0.309196702,0.479986902,0.480635387,0,0.607631094
ENSG00000112419.14,0.222176464,-4.686754525,-0.068786477,0.079366879,-0.005540131,0.865098397,1.02E-08,0.139293289,0.765063898,0.923861521,0.924173775,0,0.722603801
ENSG00000135521.8,1.493862868,NA,-0.058903752,0.326044969,-0.063621425,0.485145409,NA,0.372037173,0.149043752,0.498517373,0.498334417,1,0.613039028
ENSG00000118495.18,-1.021420502,-2.463368751,0.08526418,-0.067914495,0.021285286,0.774117412,2.13E-09,0.749397126,0.969926646,0.888672412,0.890159924,0,0.716271585
ENSG00000135604.9,0.360710526,-5.400920906,0.000543583,-0.02254797,-0.016033651,0.609437488,3.31E-35,0.977933132,0.186450898,0.611692411,0.61312183,0,0.650036427
ENSG00000152818.18,0.253812196,-9.045136674,-0.020595661,-0.017698761,-0.00786357,0.515779481,0.384365449,0.28864093,0.524958392,0.644206332,0.648560329,0,0.661213922
ENSG00000112425.14,0.816650052,-3.740263515,-0.086376515,0.072382468,-0.028993601,0.798004521,0.001323147,0.620186502,0.967113887,0.834586912,0.834741834,0,0.705647208
